index,video_id,title,url,upload_date,duration_seconds,channel,channel_id,description,caption_status,transcript_path,retrieved_at
1,IDZVaKc6MGQ,Code in Prod: Apollo x NVIDIA for Sovereign AI | DevCon 6,https://www.youtube.com/watch?v=IDZVaKc6MGQ,2026-07-14,880,Palantir,UCwed6_f0WcDIioXvMQfcP2Q,"""There is no contradiction between sovereignty and capability. You just need the right architecture."" 

At DevCon 6, Public Sector Field Engineering Leader Tim Klawa from NVIDIA and Palantir Forward Deployed Engineer Vasil Vasilev from Palantir break down how Apollo empowers customers to ship everything — from helm charts to marketplace products — to both AIP environments and on-prem Kubernetes clusters.",unavailable,,2026-07-14
2,O7aeOmnbCuo,Deep Dive: Design Patterns for Human-Agent Collaboration | DevCon 6,https://www.youtube.com/watch?v=O7aeOmnbCuo,2026-07-14,1011,Palantir,UCwed6_f0WcDIioXvMQfcP2Q,"Every AI product seems to look the same. Yours doesn't have to.

At DevCon 6, Palantir Product Designers Emily Su, Lide Li, and Philipp Shchekin explore design patterns that make human-agent collaboration seamless, legible, and trustworthy. They leverage the Ontology to design and encode these patterns, presenting agent reasoning without causing information overload, and building clear attribution so that users always know who made a decision.",unavailable,,2026-07-14
3,hymyfucOgSo,Deep Dive: Security Forge: Wielding Agents for Defensive Cyber | DevCon 6,https://www.youtube.com/watch?v=hymyfucOgSo,2026-07-14,889,Palantir,UCwed6_f0WcDIioXvMQfcP2Q,"Adversaries used to need weeks to find and weaponize a vulnerability. Now they need hours.

At DevCon 6, Palantir Infrastructure Security Engineer Nicholas Wernink reveals how Security Forge orchestrates multi-agent workflows to detect vulnerabilities before adversaries can exploit them, and breaks down the agentic approach that makes it possible. Learn what AI-accelerated defensive cyber looks like in practice, and how teams can apply that same acceleration at scale.",unavailable,,2026-07-14
4,mZcpr3vX_XY,Code in Prod: Scenario Agents x HD Hyundai Oilbank for Blending Disruptions | DevCon 6,https://www.youtube.com/watch?v=mZcpr3vX_XY,2026-07-14,725,Palantir,UCwed6_f0WcDIioXvMQfcP2Q,"A refinery never stops. Now the ability to optimize it doesn't either.

At DevCon 6, Palantir Software Engineer Simon Kaufmann and Jinho Kim of HD Hyundai Oilbank launch Scenarios, a protected sandbox on the Ontology where agents can draft and stress-test without ever touching production data. Watch a scenario agent rebuild a full vessel and blending schedule after a shipping delay, validate every constraint in real time, and hand it off for a one-click merge into the live system.",unavailable,,2026-07-14
5,elzenOIEdtI,Product Launch: DevX: SuperRepo & Agent Development | DevCon 6,https://www.youtube.com/watch?v=elzenOIEdtI,2026-07-14,1043,Palantir,UCwed6_f0WcDIioXvMQfcP2Q,"""There's no good pro-code developer experience without a good pro-code DevOps experience."" 

At DevCon 6, Palantir Group Lead Ramzi Karam launches SuperRepo, a single repository where Ontology functions, actions, front end, and agents are defined and deployed together in pro-code, backed by a local embedded Ontology for instant iteration. Watch an incident triage agent gain an entirely new capability — schema change, logic, front end, agent update — without a single CI run in between.",unavailable,,2026-07-14
6,WLleqr4GEAw,Code in Prod: AIP Evolve x Tampa General Hospital for Optimized Care | DevCon 6,https://www.youtube.com/watch?v=WLleqr4GEAw,2026-07-14,892,Palantir,UCwed6_f0WcDIioXvMQfcP2Q,"Hospitals run on margins under 2%. AI has to earn its keep.

At DevCon 6, Dr. David Zihr, Medical Director for Physician Advising Services at Tampa General Hospital, and Palantir Forward Deployed Engineer Colton Rusch show how AIP Evolve cut the cost of AI-generated utilization reviews by nearly 70%. See how Evolve screened models across providers, rewrote prompts, and even swapped AI for deterministic code to reduce 84% of GPT calls — all while Tampa General's own experts preferred the optimized output 90% of the time.",unavailable,,2026-07-14
7,GZHSCMz6Aio,Product Launch: Agent Observability & Optimization | DevCon 6,https://www.youtube.com/watch?v=GZHSCMz6Aio,2026-07-14,976,Palantir,UCwed6_f0WcDIioXvMQfcP2Q,"You can't optimize what you can't see, and you can't scale what only humans can fix.

At DevCon 6, Palantir Group Lead Christopher Jeganathan and Palantir Forward Deployed Engineer Colton Rusch turn raw agent telemetry into a readable narrative with AIP Inspect and Agent Timeline. Then they launch AIP Evolve, a new product that deploys teams of agents to continuously optimize any objective across your AI systems, especially cost, quality, and speed. 

Watch Evolve cut latency by up to 90% on a manufacturing workflow, decreasing one case from 45 seconds to 8.8, by testing model swaps, prompt rewrites, and architecture changes against your own evals, automatically.",unavailable,,2026-07-14
8,mDGjptFvePY,Product Launch: Agent Engine | DevCon 6,https://www.youtube.com/watch?v=mDGjptFvePY,2026-07-14,1189,Palantir,UCwed6_f0WcDIioXvMQfcP2Q,"""By stitching these three primitives together, you get an agent loop that's actually a distributed state machine under the hood."" 

At DevCon 6, Palantir Group Lead Natasha Armbrust launches Agent Engine and Agent SDK, giving developers the core primitives to build agents that form a distributed state machine and are multiplayer by design. 
- Context items for defining agent sessions through strongly typed data 
- Events for expressively acting on changes in state 
- Effects for connecting agents to the outside world 

Watch a patient discharge agent pause for nurse approval, reassess itself the moment a new lab result comes in, and render its reasoning clearly to every human in the loop, all in a few lines of code.",unavailable,,2026-07-14
9,ZTw66mjYATo,Product Launch: Agent Infrastructure Layer: Orchestrator | DevCon 6,https://www.youtube.com/watch?v=ZTw66mjYATo,2026-07-14,1050,Palantir,UCwed6_f0WcDIioXvMQfcP2Q,"""The bottleneck for an agent's usefulness today is not intelligence. It's trust.""

At DevCon 6, Palantir Group Lead John Mathews launches Orchestrator, the durable execution layer that lets agents crash, recover, wait, and resume exactly where they left off. Watch a patient discharge agent get torn down mid-task and rehydrate days later with zero lost state, zero duplicate side effects, and zero compute burned while it waits on a doctor's sign-off.",unavailable,,2026-07-14
10,6_6OvDIET_w,Ankit Shankar Opening Remarks | DevCon 6,https://www.youtube.com/watch?v=6_6OvDIET_w,2026-07-14,570,Palantir,UCwed6_f0WcDIioXvMQfcP2Q,"""If we want to build meaningful agents that are doing real work, We need to be able to understand their work and build trust before increasing their autonomy.""

At DevCon 6, Palantir Software Engineer Ankit Shankar unveils the Agent Stack, a set of products to help you build production agents for the enterprise, all built on the Ontology. 
- Orchestrator for durable execution 
- Agent Engine and Agent SDK for building agents of any shape 
- Agent Manager for actionable telemetry and observability
- AIP Evolve for continuous, end-to-end optimization 

Watch a simple agent get stress-tested against the real world — race conditions, human approvals, mid-task crashes — and see why trust, not intelligence, is what actually separates a good demo from a production agent.",unavailable,,2026-07-14
